Topic,comp_role,Year,weight,word_category
30,fi_226+depositor,2006,0.1425,1
30,fi_226+depositor,2007,0.1462,1
30,fi_226+depositor,2008,0.1462,1
1,fi_306+custodian,2002,0.1897,2
1,fi_306+custodian,2003,0.1918,2
1,fi_306+custodian,2004,0.1951,2
1,fi_306+custodian,2005,0.1985,2
1,fi_306+custodian,2006,0.2016,2
1,fi_306+custodian,2007,0.2029,2
1,fi_306+custodian,2008,0.2037,2
2,fi_147+servicer,2002,0.2245,2
2,fi_147+seller,2003,0.2216,2
2,fi_147+seller,2004,0.2153,2
2,fi_147+depositor,2005,0.2047,2
2,fi_147+depositor,2006,0.1924,2
2,fi_147+servicer,2007,0.1872,2
2,fi_147+servicer,2008,0.1877,2
3,fi_127+sponsor,2002,0.1163,2
3,fi_127+sponsor,2003,0.1161,2
3,fi_127+sponsor,2004,0.1158,2
3,fi_127+sponsor,2005,0.1152,2
3,fi_127+sponsor,2006,0.1141,2
3,fi_306+servicer,2007,0.1135,2
3,fi_306+servicer,2008,0.1135,2
4,fi_157+seller,2002,0.3018,2
4,fi_157+seller,2003,0.2937,2
4,fi_157+seller,2004,0.2684,2
4,fi_157+seller,2005,0.2248,2
4,fi_157+seller,2006,0.1842,2
4,fi_157+seller,2007,0.1634,2
4,fi_157+seller,2008,0.1551,2
5,fi_210+originator,2002,0.1815,2
5,fi_210+originator,2003,0.1777,2
5,fi_210+originator,2004,0.1721,2
5,fi_210+originator,2005,0.1585,2
5,fi_210+originator,2006,0.1397,2
5,fi_210+originator,2007,0.1334,2
5,fi_210+originator,2008,0.134,2
6,fi_18+servicer,2002,0.1139,2
6,fi_18+servicer,2003,0.1121,2
6,fi_18+servicer,2004,0.1089,2
6,fi_18+servicer,2005,0.1011,2
6,fi_18+servicer,2006,0.0957,2
6,fi_18+servicer,2007,0.0939,2
6,fi_18+servicer,2008,0.0938,2
7,fi_71+seller,2002,0.2155,2
7,fi_71+seller,2003,0.2189,2
7,fi_71+seller,2004,0.2223,2
7,fi_71+depositor,2005,0.2237,2
7,fi_71+depositor,2006,0.2254,2
7,fi_71+sponsor,2007,0.2253,2
7,fi_71+sponsor,2008,0.2242,2
